artist_name,track_name,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
David Guetta,I'm Good (Blue),0.561,0.304,0.965,-3.673,0.00383,7.07e-06,0.371,0.0343,7,128.04,0,175238,4
The Weeknd,Die For You,0.586,0.508,0.525,-7.163,0.111,0.0,0.134,0.0615,1,133.629,0,260253,4
Grupo Frontera,un x100to,0.571,0.542,0.72,-4.089,0.213,0.0,0.271,0.0458,9,83.827,1,194563,4
Sam Smith,Unholy (feat. Kim Petras),0.712,0.206,0.463,-7.399,0.011,2.96e-06,0.301,0.0797,2,131.199,1,156943,4
Manuel Turizo,La Bachata,0.835,0.85,0.679,-5.329,0.583,1.98e-06,0.218,0.0364,7,124.98,0,162638,4
PinkPantheress,Boy's a liar Pt. 2,0.696,0.857,0.809,-8.254,0.252,0.000128,0.248,0.05,5,132.962,1,131013,4
David Kushner,Daylight,0.508,0.324,0.43,-9.475,0.83,0.000441,0.093,0.0335,2,130.09,0,212954,4
Tom Odell,Another Love,0.445,0.131,0.537,-8.532,0.695,1.65e-05,0.0944,0.04,4,122.769,0,244360,4
The Weeknd,Starboy,0.679,0.486,0.587,-7.015,0.141,6.35e-06,0.137,0.276,7,186.003,1,230453,4
Yandel,Yandel 150,0.783,0.58,0.729,-3.549,0.0492,0.000272,0.1,0.0691,6,167.968,0,216148,4
FIFTY FIFTY,Cupid - Twin Ver.,0.783,0.726,0.592,-8.332,0.435,4.15e-06,0.347,0.0331,11,120.018,0,174253,4
The Weeknd,Die For You (with Ariana Grande) - Remix,0.575,0.506,0.5,-7.594,0.227,0.0,0.335,0.0707,1,67.033,0,232857,4
OneRepublic,I Ain't Worried,0.704,0.825,0.797,-5.927,0.0826,0.000745,0.0546,0.0475,0,139.994,1,148486,4
d4vd,Here With Me,0.571,0.299,0.458,-9.283,0.544,9.27e-05,0.123,0.0258,4,132.025,1,242485,4
Morgan Wallen,Last Night,0.492,0.478,0.675,-5.456,0.467,0.0,0.142,0.0389,6,203.759,1,163855,4
JVKE,golden hour,0.515,0.153,0.593,-4.801,0.653,0.162,0.25,0.0322,4,94.467,1,209260,3
Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,0.551,0.342,0.55,-5.339,0.777,0.0,0.202,0.0286,10,101.19,1,176440,3
Myke Towers,LALA,0.708,0.607,0.737,-4.045,0.0739,0.00162,0.0955,0.0436,1,91.986,1,197920,4
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",0.621,0.55,0.782,-5.548,0.0125,0.033,0.23,0.044,2,128.033,1,198938,4
Ozuna,Hey Mor,0.901,0.399,0.589,-6.713,0.00302,0.000237,0.0992,0.289,1,98.002,0,196600,4
