artist,album_name,album_uri,track,trackuri,release_date,id,song_uri,track_href,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Khalid,Let's Go,spotify:album:016WhzDgMqP58UMsbHkowW,Let's Go,spotify:track:52lrHT1oukvHYntHWNttgj,9/12/2016,4KBx9DSSbFaumwlEqjX4CP,spotify:track:4KBx9DSSbFaumwlEqjX4CP,https://api.spotify.com/v1/tracks/4KBx9DSSbFaumwlEqjX4CP,https://api.spotify.com/v1/audio-analysis/4KBx9DSSbFaumwlEqjX4CP,0.724,0.662,1,-5.745,1,0.0653,0.268,1.36e-06,0.102,0.402,106.974,207320,4
Ariana Grande,"thank u, next",spotify:album:6sUzNE1SPNLBXBCZs3PIAO,"thank u, next",spotify:track:4KBx9DSSbFaumwlEqjX4CP,2/7/2018,6Nq5lE0CeOAAAqN4qhkbZU,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/tracks/6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/audio-analysis/6Nq5lE0CeOAAAqN4qhkbZU,0.662,0.748,5,-3.041,0,0.268,0.688,8.58e-06,0.0841,0.535,82.331,239027,4
Baby Bash,Tha Smokin' Nephew,spotify:album:42LlDinsxjsByAqqpZXRp4,Suga Suga,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,1/1/2003,4Tn2llBm1g0UlWctmgPL8Z,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,https://api.spotify.com/v1/tracks/4Tn2llBm1g0UlWctmgPL8Z,https://api.spotify.com/v1/audio-analysis/4Tn2llBm1g0UlWctmgPL8Z,0.734,0.826,1,-4.909,1,0.0349,0.00101,0.129,0.197,0.74,132.96,212280,4
Rihanna,Good Girl Gone Bad: Reloaded,spotify:album:3JSWZWeTHF4HDGt5Eozdy7,Shut Up And Drive,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,6/2/2008,6XE2V2icEranw5YpS4WMDD,spotify:track:6XE2V2icEranw5YpS4WMDD,https://api.spotify.com/v1/tracks/6XE2V2icEranw5YpS4WMDD,https://api.spotify.com/v1/audio-analysis/6XE2V2icEranw5YpS4WMDD,0.746,0.993,2,-2.134,0,0.0499,0.0866,0.0548,0.0689,0.972,122.046,202827,4
Daddy Yankee,Mundial (Deluxe Version),spotify:album:3g09ln1DeyjtPhlITh8DzT,La Despedida,spotify:track:6XE2V2icEranw5YpS4WMDD,4/27/2010,5bcTCxgc7xVfSaMV3RuVke,spotify:track:5bcTCxgc7xVfSaMV3RuVke,https://api.spotify.com/v1/tracks/5bcTCxgc7xVfSaMV3RuVke,https://api.spotify.com/v1/audio-analysis/5bcTCxgc7xVfSaMV3RuVke,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223413,4
Calvin Harris,Funk Wav Bounces Vol.1,spotify:album:2HaqChIDc5go3qxVunBDK0,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",spotify:track:5bcTCxgc7xVfSaMV3RuVke,6/30/2017,3gE4eQH3K83Sght0ZLvuBK,spotify:track:3gE4eQH3K83Sght0ZLvuBK,https://api.spotify.com/v1/tracks/3gE4eQH3K83Sght0ZLvuBK,https://api.spotify.com/v1/audio-analysis/3gE4eQH3K83Sght0ZLvuBK,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000485,0.099,0.156,97.055,210368,4
Bad Bunny,X 100PRE,spotify:album:7CjJb2mikwAWA1V6kewFBF,MIA,spotify:track:3gE4eQH3K83Sght0ZLvuBK,12/23/2018,3SPDQfj2UfWq6A2NllZnzn,spotify:track:3SPDQfj2UfWq6A2NllZnzn,https://api.spotify.com/v1/tracks/3SPDQfj2UfWq6A2NllZnzn,https://api.spotify.com/v1/audio-analysis/3SPDQfj2UfWq6A2NllZnzn,0.729,0.771,4,-2.451,1,0.0725,0.00761,0,0.087,0.873,125.011,198053,4
One Direction,Up All Night,spotify:album:53DrBEDi1AvhWOtCdljUiu,What Makes You Beautiful,spotify:track:3SPDQfj2UfWq6A2NllZnzn,5/25/2012,4lCv7b86sLynZbXhfScfm2,spotify:track:4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/tracks/4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/audio-analysis/4lCv7b86sLynZbXhfScfm2,0.639,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.648,124.075,227880,4
Katy Perry,Teenage Dream: The Complete Confection,spotify:album:5BvgP623rtvlc0HDcpzquz,Firework,spotify:track:4lCv7b86sLynZbXhfScfm2,3/12/2012,3AszgPDZd9q0DpDFt4HFBy,spotify:track:3AszgPDZd9q0DpDFt4HFBy,https://api.spotify.com/v1/tracks/3AszgPDZd9q0DpDFt4HFBy,https://api.spotify.com/v1/audio-analysis/3AszgPDZd9q0DpDFt4HFBy,0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,239240,4
Outkast,The Way You Move / Hey Ya!,spotify:album:7etFl9qeqjD0luC40JAg8l,Hey Ya!,spotify:track:3AszgPDZd9q0DpDFt4HFBy,2003,69w5X6uTrOaWM32IetSzvO,spotify:track:69w5X6uTrOaWM32IetSzvO,https://api.spotify.com/v1/tracks/69w5X6uTrOaWM32IetSzvO,https://api.spotify.com/v1/audio-analysis/69w5X6uTrOaWM32IetSzvO,0.707,0.811,4,-5.298,0,0.0304,0.311,0.0152,0.131,0.899,113.971,187342,4
